1,CHINGFORD,10.27.0.229
2,MAYO AVENUE,10.11.80.229
3,ENTERPRISE 5,10.11.105.229
4,VICTORIA,10.11.55.229
5,KEIGHLEY,10.11.115.229
7,YEADON,10.11.125.229
8,THORNBURY,10.12.5.229
10,MERRION CENTRE,10.19.0.229
11,MORLEY,10.19.5.229
14,BEVERLEY,10.19.15.229
15,HUNSLET,10.19.20.229
17,HORSFORTH,10.19.30.229
19,WIDNES,10.11.90.229
21,ST HELENS,10.27.15.229
22,FAILSWORTH,10.27.20.229
23,MANSFIELD,10.11.145.229
24,BILSTON,10.27.25.229
25,INCE,10.27.30.229
26,DARLINGTON NORTH ROAD,10.11.150.229
27,STAVELEY,10.19.35.229
28,ECCLES,10.27.95.229
29,ROTHERHAM CATCLIFFE,10.20.110.229
30,GRANTHAM,10.19.45.229
31,GAINSBOROUGH,10.19.50.229
32,HEYWOOD,10.27.40.229
33,DEWSBURY ROAD,10.19.55.229
34,WAKEFIELD RIDINGS,10.19.60.229
35,KILLINGWORTH,10.12.105.229
36,GUISELEY,10.12.60.229
37,DUKINFIELD,10.27.45.229
38,BLACKBURN,10.27.50.229
39,ROTHERHAM BRAMLEY,10.19.65.229
40,BISHOP AUCKLAND,10.12.65.229
41,PRESTON RIVERSWAY,10.27.55.229
42,HECKMONDWIKE,10.12.70.229
44,CARLISLE,10.27.65.229
45,BOLTON,10.11.5.229
46,STAMFORD,10.19.70.229
47,SEABURN,10.12.100.229
48,NEWARK,10.19.75.229
49,WELLINGTON,10.27.70.229
50,STOKE,10.27.75.229
51,PONTEFRACT,10.20.0.229
52,HILLSBOROUGH,10.20.5.229
53,ROCHDALE,10.11.10.229
54,COALVILLE,10.20.10.229
55,KENDAL,10.12.110.229
56,SKIPTON,10.12.115.229
57,OLDHAM,10.28.0.229
58,STOCKTON,10.20.15.229
59,BOLTON ATLAS MILLS,10.28.5.229
60,CHORLEY,10.28.10.229
61,PARKGATE,10.20.20.229
62,LINCOLN,10.20.25.229
63,WALSALL (WALLOWS LANE),10.28.15.229
64,TYNEMOUTH,10.12.120.229
65,STARBECK,10.12.125.229
66,BLACKPOOL,10.28.20.229
67,NETHERFIELD,10.20.30.229
68,SHREWSBURY,10.28.25.229
69,BINLEY,10.12.130.229
70,SCUNTHORPE,10.20.35.229
71,WARRINGTON,10.28.30.229
72,ECCLESFIELD,10.11.20.229
73,TAMWORTH,10.28.35.229
74,MORECAMBE,10.28.40.229
75,CLEETHORPES,10.20.40.229
76,SCARBOROUGH,10.20.45.229
77,WINSFORD,10.28.45.229
78,DERBY,10.20.50.229
79,HUDDERSFIELD,10.12.135.229
80,REDCAR,10.12.0.229
81,IPSWICH,10.20.80.229
82,BARRY,10.28.75.229
83,PINCHBECK,10.19.85.229
84,BRISTOL CRIBBS,10.27.105.229
85,GRAYS,10.20.85.229
86,DEREHAM,10.20.75.229
87,ROGERSTONE,10.28.85.229
88,JARROW,10.11.85.229
89,KIRKSTALL,10.19.80.229
90,SMALL HEATH,10.27.90.229
91,BYKER,10.12.35.229
92,ENFIELD,10.19.110.229
93,DENTON,10.28.105.229
94,BARROW,10.27.100.229
95,EBBW VALE,10.27.80.229
96,BAGLAN,10.28.90.229
97,BELLE VALE,10.28.95.229
98,BARNSLEY,10.19.90.229
99,MILTON KEYNES - WESTCROFT,10.19.135.229
100,NORTHAMPTON VICTORIA PROMENADE,10.11.15.229
101,HALFWAY,10.11.40.229
102,DOXFORD,10.12.140.229
103,KINGS LYNN,10.20.90.229
104,NELSON,10.12.25.229
105,BOUNDARY ROAD,10.28.50.229
106,BANBURY,10.28.55.229
107,ANLABY,10.11.90.229
108,BOROUGHBRIDGE,10.11.65.229
109,HULL HOLDERNESSRD,10.11.95.229
110,WETHERBY,10.12.40.229
111,KETTERING,10.19.95.229
112,BRAMPTON,10.20.55.229
113,ERITH,10.11.70.229
114,RETFORD,10.11.75.229
115,NORWICH RIVERSIDE,10.12.30.229
116,WELLINGBOROUGH,10.20.95.229
117,KILMARNOCK,10.28.100.229
118,CAMBOURNE,10.19.105.229
119,HYDE,10.12.150.229
120,CREWE,10.28.80.229
121,BULWELL,10.20.60.229
122,CHEADLE HEATH,10.28.60.229
123,DONCASTER,10.20.65.229
124,MORTON PARK,10.12.145.229
125,BURTON,10.28.65.229
126,LETCHWORTH,10.12.15.229
127,NEWCASTLE-UNDER-LYME (MILEHOUSE LANE),10.12.20.229
128,MIDDLESBROUGH BERWICK HILLS,10.11.25.229
129,RHYL,10.27.85.229
130,SWANSEA,10.28.110.229
131,CHESTER,10.27.110.229
132,HARTLEPOOL,10.19.115.229
133,RIPON,10.19.130.229
134,SOUTHPORT,10.27.115.229
135,FALKIRK,10.19.120.229
136,CARDONALD,10.241.68.229
137,SWINNOW ROAD LEEDS,10.19.125.229
138,SPEKE,10.20.238.229
139,PAISLEY ANCHOR MILLS,10.241.66.229
140,STROOD,10.11.246.229
142,ABBEYDALE,10.240.72.229
143,HARTCLIFFE [Bristol],10.27.240.229
144,KNOTTINGLEY,10.12.95.229
145,DUNDEE,10.241.64.229
146,WEST DENTON,10.240.116.229
147,GRANTON,10.11.35.229
148,HAMILTON,10.28.188.229
149,WHITEFIELD,10.28.70.229
150,LIVINGSTON (DEDRIDGE NORTH ROAD),10.27.184.229
151,LEYLAND,10.27.234.229
152,AUCHINLEA,10.28.186.229
153,WEDNESBURY,10.240.58.229
154,MILTON KEYNES - LEISURE,10.11.0.229
155,YORK,10.20.240.229
156,JOHNSTONE,10.20.242.229
157,CARDIFF BAY,10.28.240.229
158,CROWBOROUGH,10.27.238.229
159,SWADLINCOTE,10.28.242.229
160,ABERDEEN,10.240.26.229
161,AIRDRIE,10.11.190.229
162,ALLOA,10.28.182.229
163,ALNESS,10.241.30.229
164,ARBROATH,10.20.194.229
165,AYR,10.20.190.229
166,CWMBRAN,10.12.228.229
167,BELLSHILL,10.27.192.229
168,BERWICK,10.241.18.229
169,DUMBARTON,10.240.20.229
170,DUMFRIES,10.19.140.229
171,LINDSAYFIELD,10.241.12.229
172,STEWARTFIELD,10.11.198.229
173,FERRY ROAD,10.240.12.229
174,HUNTERS TRYST,10.27.204.229
175,MOREDUN,10.241.16.229
176,PORTOBELLO ROAD,10.241.26.229
177,GYLE,10.20.115.229
178,FORT WILLIAM,10.11.204.229
179,ANNIESLAND,10.241.56.229
